2026-01-30 10:13:32,717 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_8
2026-01-30 10:13:32,717 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_8
2026-01-30 10:15:05,487 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_1
2026-01-30 10:15:05,488 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_1
2026-01-30 10:15:05,488 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_2
2026-01-30 10:15:05,488 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:15:10,494 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 10:15:20,498 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 10:15:40,502 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 10:15:40,504 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 1/3
2026-01-30 10:15:40,504 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_2 due to error: 503 Service Unavailable
2026-01-30 10:15:41,505 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_3
2026-01-30 10:15:41,506 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:15:46,512 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 10:15:56,518 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 10:16:16,524 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 10:16:16,525 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 2/3
2026-01-30 10:16:16,526 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_3 due to error: 503 Service Unavailable
2026-01-30 10:16:17,527 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_4
2026-01-30 10:16:17,528 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:16:22,531 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 10:16:32,536 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 10:16:52,543 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 10:16:52,545 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 3/3
2026-01-30 10:16:52,546 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_STATE_CHANGE | Retry: 0 | Circuit: OPEN | Details: Transitioned to OPEN
2026-01-30 10:16:52,546 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_4 due to error: 503 Service Unavailable
2026-01-30 10:16:53,548 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_5
2026-01-30 10:16:53,550 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_OPEN_REJECT | Retry: 0 | Circuit: OPEN | Details: Call rejected due to open circuit
2026-01-30 10:16:53,550 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_5 due to error: Circuit Breaker is OPEN for ElevenLabs
2026-01-30 10:16:54,556 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_6
2026-01-30 10:16:54,558 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_OPEN_REJECT | Retry: 0 | Circuit: OPEN | Details: Call rejected due to open circuit
2026-01-30 10:16:54,558 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_6 due to error: Circuit Breaker is OPEN for ElevenLabs
2026-01-30 10:17:00,564 - AppLogger - INFO - Service: HealthMonitor | Event: HEALTH_CHECK_INIT | Retry: 0 | Circuit: CLOSED | Details: Starting periodic health check...
2026-01-30 10:17:00,565 - AppLogger - INFO - Service: ElevenLabs | Event: HEALTH_CHECK_SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Service is healthy again. Resetting Circuit Breaker.
2026-01-30 10:17:00,566 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_STATE_CHANGE | Retry: 0 | Circuit: CLOSED | Details: Transitioned to CLOSED
2026-01-30 10:17:00,566 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_7
2026-01-30 10:17:00,567 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_7
2026-01-30 10:17:00,567 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_8
2026-01-30 10:17:00,567 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_8
